index,align_timestamp
204,[5457.404  5457.5034]
205,[5457.5034 5457.6035]
206,[5457.6035 5457.7124]
207,[5457.7124 5457.8027]
208,[5457.8027 5457.902 ]
209,[5457.902  5458.0034]
210,[5458.0034 5458.102 ]
211,[5458.102 5458.204]
212,[5458.204  5458.3022]
213,[5458.3022 5458.4033]
214,[5458.4033 5458.501 ]
215,[5458.501 5458.601]
216,[5458.601  5458.7046]
217,[5458.7046 5458.7993]
218,[5458.7993 5458.8984]
219,[5458.8984 5458.9985]
220,[5458.9985 5459.0977]
221,[5459.0977 5459.1978]
222,[5459.1978 5459.2974]
223,[5459.2974 5459.397 ]
224,[5459.397  5459.4976]
225,[5459.4976 5459.596 ]
226,[5459.596  5459.6963]
227,[5459.6963 5459.7974]
228,[5459.7974 5459.8965]
229,[5459.8965 5459.995 ]
230,[5459.995  5460.0967]
231,[5460.0967 5460.1963]
232,[5460.1963 5460.2954]
233,[5460.2954 5460.3965]
234,[5460.3965 5460.4946]
235,[5460.4946 5460.5947]
236,[5460.5947 5460.6943]
237,[5460.6943 5460.7944]
238,[5460.7944 5460.893 ]
239,[5460.893 5460.994]
240,[5460.994  5461.0923]
241,[5461.0923 5461.193 ]
242,[5461.193 5461.292]
243,[5461.292 5461.394]
244,[5461.394 5461.491]
245,[5461.491 5461.592]
246,[5461.592 5461.691]
247,[5461.691  5461.7915]
248,[5461.7915 5461.89  ]
249,[5461.89   5461.9893]
250,[5461.9893 5462.0894]
251,[5462.0894 5462.1895]
252,[5462.1895 5462.2886]
253,[5462.2886 5462.387 ]
254,[5462.387 5462.488]
255,[5462.488 5462.589]
256,[5462.589 5462.688]
257,[5462.688 5462.788]
258,[5462.788 5462.887]
259,[5462.887 5462.988]
260,[5462.988  5463.0864]
261,[5463.0864 5463.187 ]
262,[5463.187  5463.2856]
263,[5463.2856 5463.386 ]
264,[5463.386 5463.485]
265,[5463.485 5463.586]
266,[5463.586  5463.6846]
267,[5463.6846 5463.785 ]
268,[5463.785  5463.8843]
269,[5463.8843 5463.984 ]
270,[5463.984 5464.083]
271,[5464.083  5464.1836]
272,[5464.1836 5464.283 ]
273,[5464.283 5464.384]
274,[5464.384  5464.4834]
275,[5464.4834 5464.582 ]
276,[5464.582  5464.6816]
277,[5464.6816 5464.7817]
278,[5464.7817 5464.8804]
279,[5464.8804 5464.9814]
280,[5464.9814 5465.08  ]
281,[5465.08  5465.181]
282,[5465.181  5465.2793]
283,[5465.2793 5465.3804]
284,[5465.3804 5465.479 ]
285,[5465.479  5465.5796]
286,[5465.5796 5465.678 ]
287,[5465.678  5465.7793]
288,[5465.7793 5465.878 ]
289,[5465.878  5465.9795]
290,[5465.9795 5466.077 ]
291,[5466.077 5466.176]
292,[5466.176  5466.2764]
293,[5466.2764 5466.375 ]
294,[5466.375 5466.476]
295,[5466.476  5466.5767]
296,[5466.5767 5466.676 ]
297,[5466.676  5466.7744]
298,[5466.7744 5466.8745]
299,[5466.8745 5466.975 ]
300,[5466.975 5467.073]
301,[5467.073 5467.173]
302,[5467.173  5467.2725]
303,[5467.2725 5467.372 ]
304,[5467.372 5467.472]
305,[5467.472 5467.572]
306,[5467.572  5467.6714]
307,[5467.6714 5467.771 ]
308,[5467.771 5467.871]
309,[5467.871 5467.973]
310,[5467.973  5468.0723]
311,[5468.0723 5468.1724]
312,[5468.1724 5468.27  ]
313,[5468.27  5468.371]
314,[5468.371  5468.4697]
315,[5468.4697 5468.569 ]
316,[5468.569 5468.669]
317,[5468.669  5468.7695]
318,[5468.7695 5468.869 ]
319,[5468.869  5468.9688]
320,[5468.9688 5469.069 ]
321,[5469.069 5469.169]
322,[5469.169 5469.267]
323,[5469.267  5469.3677]
324,[5469.3677 5469.467 ]
325,[5469.467  5469.5674]
326,[5469.5674 5469.666 ]
327,[5469.666 5469.767]
328,[5469.767  5469.8657]
329,[5469.8657 5469.966 ]
330,[5469.966 5470.065]
331,[5470.065 5470.166]
332,[5470.166 5470.264]
333,[5470.264 5470.365]
334,[5470.365  5470.4653]
335,[5470.4653 5470.565 ]
336,[5470.565 5470.663]
337,[5470.663  5470.7637]
338,[5470.7637 5470.8633]
339,[5470.8633 5470.9634]
340,[5470.9634 5471.0635]
341,[5471.0635 5471.1626]
342,[5471.1626 5471.261 ]
343,[5471.261  5471.3613]
344,[5471.3613 5471.461 ]
345,[5471.461  5471.5615]
346,[5471.5615 5471.661 ]
347,[5471.661 5471.759]
348,[5471.759  5471.8594]
349,[5471.8594 5471.96  ]
350,[5471.96  5472.059]
351,[5472.059 5472.158]
352,[5472.158  5472.2583]
353,[5472.2583 5472.359 ]
354,[5472.359  5472.4575]
355,[5472.4575 5472.558 ]
356,[5472.558 5472.657]
357,[5472.657 5472.758]
358,[5472.758  5472.8555]
359,[5472.8555 5472.957 ]
360,[5472.957  5473.0557]
361,[5473.0557 5473.1567]
362,[5473.1567 5473.2554]
363,[5473.2554 5473.356 ]
364,[5473.356 5473.455]
365,[5473.455 5473.556]
366,[5473.556 5473.654]
367,[5473.654  5473.7544]
368,[5473.7544 5473.8535]
369,[5473.8535 5473.954 ]
370,[5473.954  5474.0527]
371,[5474.0527 5474.1533]
372,[5474.1533 5474.2524]
373,[5474.2524 5474.3525]
374,[5474.3525 5474.452 ]
375,[5474.452  5474.5522]
376,[5474.5522 5474.651 ]
377,[5474.651 5474.751]
378,[5474.751  5474.8496]
379,[5474.8496 5474.9487]
380,[5474.9487 5475.05  ]
381,[5475.05   5475.1504]
382,[5475.1504 5475.25  ]
383,[5475.25 5475.35]
384,[5475.35   5475.4487]
385,[5475.4487 5475.55  ]
386,[5475.55   5475.6484]
387,[5475.6484 5475.7485]
388,[5481.132 5481.132]
389,[5481.132 5481.231]
390,[5481.231  5481.3296]
391,[5481.3296 5481.4297]
392,[5481.4297 5481.531 ]
393,[5481.531 5481.63 ]
394,[5481.63 5481.73]
395,[5481.73   5481.8286]
396,[5481.8286 5481.929 ]
397,[5481.929  5482.0273]
398,[5482.0273 5482.127 ]
399,[5482.127  5482.2266]
400,[5482.2266 5482.329 ]
401,[5482.329  5482.4272]
402,[5482.4272 5482.527 ]
403,[5482.527  5482.6255]
404,[5482.6255 5482.725 ]
405,[5482.725  5482.8247]
406,[5482.8247 5482.925 ]
407,[5482.925 5483.024]
408,[5483.024 5483.124]
409,[5483.124  5483.2236]
410,[5483.2236 5483.323 ]
411,[5483.323 5483.423]
412,[5483.423 5483.523]
413,[5483.523 5483.622]
414,[5483.622 5483.722]
415,[5483.722 5483.822]
416,[5483.822  5483.9214]
417,[5483.9214 5484.0215]
418,[5484.0215 5484.122 ]
419,[5484.122  5484.2207]
420,[5484.2207 5484.321 ]
421,[5484.321 5484.421]
422,[5484.421  5484.5195]
423,[5484.5195 5484.619 ]
424,[5484.619 5484.724]
425,[5484.724 5484.82 ]
426,[5484.82   5484.9185]
427,[5484.9185 5485.0195]
428,[5485.0195 5485.1196]
429,[5485.1196 5485.2183]
430,[5485.2183 5485.3193]
431,[5485.3193 5485.418 ]
432,[5485.418  5485.5186]
433,[5485.5186 5485.617 ]
434,[5485.617 5485.721]
435,[5485.721  5485.8174]
436,[5485.8174 5485.9175]
437,[5485.9175 5486.015 ]
438,[5486.015 5486.115]
439,[5486.115 5486.216]
440,[5486.216  5486.3154]
441,[5486.3154 5486.4146]
442,[5486.4146 5486.514 ]
443,[5486.514  5486.6143]
444,[5486.6143 5486.716 ]
445,[5486.716  5486.8135]
446,[5486.8135 5486.913 ]
447,[5486.913  5487.0127]
448,[5487.0127 5487.1123]
449,[5487.1123 5487.212 ]
450,[5487.212 5487.312]
451,[5487.312 5487.412]
452,[5487.412 5487.512]
453,[5487.512  5487.6113]
454,[5487.6113 5487.7114]
455,[5487.7114 5487.8115]
456,[5487.8115 5487.9097]
457,[5487.9097 5488.01  ]
458,[5488.01   5488.1113]
459,[5488.1113 5488.21  ]
460,[5488.21  5488.311]
461,[5488.311  5488.4087]
462,[5488.4087 5488.511 ]
463,[5488.511 5488.608]
464,[5488.608  5488.7085]
465,[5488.7085 5488.8076]
466,[5488.8076 5488.907 ]
467,[5488.907 5489.007]
468,[5489.007  5489.1074]
469,[5489.1074 5489.2065]
470,[5489.2065 5489.308 ]
471,[5489.308 5489.407]
472,[5489.407  5489.5054]
473,[5489.5054 5489.605 ]
474,[5489.605 5489.705]
475,[5489.705 5489.805]
476,[5489.805 5489.905]
477,[5489.905  5490.0044]
478,[5490.0044 5490.1045]
479,[5490.1045 5490.203 ]
480,[5490.203 5490.304]
481,[5490.304  5490.4023]
482,[5490.4023 5490.5034]
483,[5490.5034 5490.6025]
484,[5490.6025 5490.7026]
485,[5490.7026 5490.8013]
486,[5490.8013 5490.9014]
487,[5490.9014 5491.001 ]
488,[5491.001  5491.1006]
489,[5491.1006 5491.2   ]
490,[5491.2   5491.301]
491,[5491.301  5491.3994]
492,[5491.3994 5491.5015]
493,[5491.5015 5491.6006]
494,[5491.6006 5491.7007]
495,[5491.7007 5491.799 ]
496,[5491.799  5491.8975]
497,[5491.8975 5491.998 ]
498,[5491.998 5492.097]
499,[5492.097  5492.1973]
500,[5492.1973 5492.297 ]
501,[5492.297  5492.3965]
502,[5492.3965 5492.496 ]
503,[5492.496 5492.596]
504,[5492.596 5492.696]
505,[5492.696  5492.7964]
506,[5492.7964 5492.8955]
507,[5492.8955 5492.9966]
508,[5492.9966 5493.0957]
509,[5493.0957 5493.1943]
510,[5493.1943 5493.2954]
511,[5493.2954 5493.394 ]
512,[5493.394  5493.4937]
513,[5493.4937 5493.593 ]
514,[5493.593 5493.693]
515,[5493.693  5493.7925]
516,[5493.7925 5493.8945]
517,[5493.8945 5493.993 ]
518,[5493.993 5494.093]
519,[5494.093  5494.1914]
520,[5494.1914 5494.2915]
521,[5494.2915 5494.3926]
522,[5494.3926 5494.49  ]
523,[5494.49   5494.5903]
524,[5494.5903 5494.69  ]
525,[5494.69   5494.7896]
526,[5494.7896 5494.891 ]
527,[5494.891  5494.9893]
528,[5494.9893 5495.091 ]
529,[5495.091  5495.1885]
530,[5495.1885 5495.2876]
