index,timestamp,
0,1750090809.34588,
1,1750090809.37989,0.0340125560760498
2,1750090809.41164,0.0317444801330566
3,1750090809.4464,0.0347580909729004
4,1750090809.47767,0.0312745571136475
5,1750090809.51141,0.0337426662445068
6,1750090809.54449,0.0330758094787598
7,1750090809.57831,0.0338201522827148
8,1750090809.6106,0.0322916507720947
9,1750090809.64708,0.0364813804626465
10,1750090809.67897,0.0318880081176758
11,1750090809.70983,0.0308542251586914
12,1750090809.743,0.033177375793457
13,1750090809.77619,0.0331869125366211
14,1750090809.80952,0.0333256721496582
15,1750090809.84472,0.035207986831665
16,1750090809.87623,0.0315113067626953
17,1750090809.91038,0.0341415405273437
18,1750090809.94487,0.0344901084899902
19,1750090809.97573,0.0308678150177002
20,1750090810.00891,0.0331785678863525
21,1750090810.04408,0.0351638793945312
22,1750090810.07552,0.0314388275146484
23,1750090810.10866,0.0331456661224365
24,1750090810.14225,0.0335850715637207
25,1750090810.17606,0.033818244934082
26,1750090810.21258,0.036510705947876
27,1750090810.24642,0.0338437557220459
28,1750090810.27668,0.0302588939666748
29,1750090810.31007,0.0333952903747559
30,1750090810.34686,0.036790132522583
31,1750090810.37484,0.0279765129089355
32,1750090810.40786,0.0330164432525635
33,1750090810.44302,0.0351629257202148
34,1750090810.47482,0.0317983627319336
35,1750090810.50906,0.0342428684234619
36,1750090810.5424,0.0333366394042969
37,1750090810.57383,0.0314295291900635
38,1750090810.60812,0.0342912673950195
39,1750090810.64347,0.0353481769561768
40,1750090810.67643,0.0329687595367432
41,1750090810.70968,0.0332467555999756
42,1750090810.75008,0.0404019355773926
43,1750090810.77641,0.0263245105743408
44,1750090810.80723,0.0308220386505127
45,1750090810.84011,0.0328769683837891
46,1750090810.87261,0.0325043201446533
47,1750090810.90853,0.0359213352203369
48,1750090810.9395,0.0309650897979736
49,1750090810.97309,0.0335884094238281
50,1750090811.00649,0.0334079265594482
51,1750090811.04034,0.0338437557220459
52,1750090811.07262,0.0322811603546143
53,1750090811.10823,0.0356085300445557
54,1750090811.13962,0.0313937664031982
55,1750090811.17316,0.0335376262664795
56,1750090811.20725,0.0340890884399414
57,1750090811.23862,0.0313739776611328
58,1750090811.27134,0.0327138900756836
59,1750090811.30505,0.0337190628051758
60,1750090811.33822,0.0331640243530273
61,1750090811.37135,0.0331323146820068
62,1750090811.40703,0.0356781482696533
63,1750090811.44032,0.033287525177002
64,1750090811.47189,0.0315778255462646
65,1750090811.5066,0.03470778465271
66,1750090811.53747,0.0308694839477539
67,1750090811.57089,0.0334219932556152
68,1750090811.60602,0.0351221561431885
69,1750090811.63861,0.0325920581817627
70,1750090811.67305,0.0344398021697998
71,1750090811.70584,0.0327961444854736
72,1750090811.73923,0.0333890914916992
73,1750090811.77244,0.0332090854644775
74,1750090811.80361,0.0311660766601562
75,1750090811.83669,0.0330827236175537
76,1750090811.87141,0.0347154140472412
77,1750090811.90597,0.0345628261566162
78,1750090811.93621,0.0302448272705078
79,1750090811.96965,0.0334365367889404
80,1750090812.00517,0.0355155467987061
81,1750090812.03772,0.0325539112091064
82,1750090812.07163,0.0339057445526123
83,1750090812.10296,0.0313379764556885
84,1750090812.13782,0.0348596572875977
85,1750090812.16954,0.0317139625549316
86,1750090812.20271,0.0331730842590332
87,1750090812.23567,0.0329630374908447
88,1750090812.2705,0.0348212718963623
89,1750090812.30225,0.0317549705505371
90,1750090812.33562,0.033374547958374
91,1750090812.36833,0.0327019691467285
92,1750090812.40364,0.0353119373321533
93,1750090812.43636,0.0327262878417969
94,1750090812.47048,0.0341188907623291
95,1750090812.50285,0.0323712825775146
96,1750090812.53442,0.0315697193145752
97,1750090812.56771,0.0332856178283691
98,1750090812.60161,0.0338947772979736
99,1750090812.63434,0.032731294631958
100,1750090812.66761,0.033278226852417
101,1750090812.7018,0.0341877937316895
102,1750090812.73429,0.0324885845184326
103,1750090812.76938,0.0350871086120605
104,1750090812.80131,0.0319271087646484
105,1750090812.8346,0.0332927703857422
106,1750090812.86705,0.0324547290802002
107,1750090812.90543,0.0383772850036621
108,1750090812.93347,0.0280356407165527
109,1750090812.96667,0.0332033634185791
110,1750090813.00178,0.0351128578186035
111,1750090813.03298,0.031193733215332
112,1750090813.0665,0.0335268974304199
113,1750090813.10984,0.0433385372161865
114,1750090813.13553,0.0256927013397217
115,1750090813.16576,0.0302278995513916
116,1750090813.19966,0.0339033603668213
117,1750090813.23285,0.0331859588623047
118,1750090813.26779,0.0349438190460205
119,1750090813.30046,0.0326602458953857
120,1750090813.33231,0.031853199005127
121,1750090813.36531,0.0330004692077637
122,1750090813.39925,0.0339462757110596
123,1750090813.43184,0.0325877666473389
124,1750090813.46493,0.0330910682678223
125,1750090813.49889,0.0339596271514893
126,1750090813.53343,0.0345368385314941
127,1750090813.56482,0.0313854217529297
128,1750090813.59858,0.0337619781494141
129,1750090813.63148,0.0328989028930664
130,1750090813.66472,0.0332484245300293
131,1750090813.70034,0.035618782043457
132,1750090813.73315,0.0328047275543213
133,1750090813.76443,0.0312790870666504
134,1750090813.79864,0.0342140197753906
135,1750090813.83162,0.0329799652099609
136,1750090813.86523,0.0336132049560547
137,1750090813.89893,0.0336980819702148
138,1750090813.93096,0.0320277214050293
139,1750090813.9658,0.0348408222198486
140,1750090813.99748,0.0316777229309082
141,1750090814.03108,0.0335965156555176
142,1750090814.06462,0.0335428714752197
143,1750090814.09814,0.0335195064544678
144,1750090814.12972,0.0315773487091064
145,1750090814.16255,0.0328371524810791
146,1750090814.19767,0.0351135730743408
147,1750090814.23061,0.0329394340515137
