index,align_timestamp,robot_timestamp,capture_time
0,5481.131710086,5481.131637269,5467158.0
1,5481.164183224,5481.162058689,5467191.0
2,5481.198082464,5481.19758059,5467225.0
3,5481.231104434,5481.228135612,5467258.0
4,5481.264691728,5481.263681929,5467291.0
5,5481.297226342,5481.29432692,5467324.0
6,5481.329739906,5481.324871662,5467358.0
7,5481.363717012,5481.360623846,5467391.0
8,5481.395986267,5481.395827739,5467424.0
9,5481.429500143,5481.426303091,5467457.0
10,5481.464251224,5481.4618026,5467491.0
11,5481.496849869,5481.492220354,5467524.0
12,5481.53063307,5481.527867019,5467557.0
13,5481.562996362,5481.558517671,5467590.0
14,5481.597293691,5481.593893187,5467623.0
15,5481.630098122,5481.629559088,5467657.0
16,5481.66357615,5481.659985258,5467690.0
17,5481.695912521,5481.695476922,5467723.0
18,5481.730197456,5481.725915605,5467756.0
19,5481.762490035,5481.761417689,5467790.0
20,5481.796530651,5481.791931473,5467823.0
21,5481.828821947,5481.827320644,5467856.0
22,5481.862816536,5481.857739099,5467889.0
23,5481.895493178,5481.893415551,5467923.0
24,5481.929381347,5481.929184717,5467956.0
25,5481.961858332,5481.959976764,5467989.0
26,5481.995585759,5481.99505962,5468022.0
27,5482.027431187,5482.025582762,5468055.0
28,5482.062293578,5482.060827682,5468089.0
29,5482.094231129,5482.091312702,5468122.0
30,5482.126969376,5482.126827199,5468155.0
31,5482.16032302,5482.157368144,5468188.0
32,5482.193843358,5482.193060776,5468222.0
33,5482.22661106,5482.223402106,5468255.0
34,5482.259990853,5482.25910116,5468288.0
35,5482.293837114,5482.289426881,5468321.0
36,5482.328961076,5482.324850597,5468355.0
37,5482.359589967,5482.355255647,5468388.0
38,5482.392668704,5482.390680375,5468421.0
39,5482.427102359,5482.426357148,5468454.0
40,5482.461066691,5482.457059236,5468487.0
41,5482.492410386,5482.492231309,5468521.0
42,5482.526790991,5482.522899504,5468554.0
43,5482.558940851,5482.558683157,5468587.0
44,5482.594002978,5482.588974663,5468620.0
45,5482.62565926,5482.624720766,5468654.0
46,5482.658648058,5482.655215364,5468687.0
47,5482.691894661,5482.690679156,5468720.0
48,5482.725079838,5482.721320339,5468753.0
49,5482.759536005,5482.756718468,5468787.0
50,5482.793571461,5482.792120333,5468820.0
51,5482.82487493,5482.823223856,5468853.0
52,5482.859870181,5482.858857737,5468886.0
53,5482.891401419,5482.889315436,5468919.0
54,5482.924577008,5482.919688576,5468953.0
55,5482.957850341,5482.955349979,5468986.0
56,5482.990939497,5482.990789245,5469019.0
57,5483.024160262,5483.021113393,5469052.0
58,5483.057423896,5483.056997745,5469086.0
59,5483.090580901,5483.087244457,5469119.0
60,5483.124087703,5483.122773722,5469152.0
61,5483.157046795,5483.153390871,5469185.0
62,5483.19285827,5483.18952364,5469219.0
63,5483.223633376,5483.21999794,5469252.0
64,5483.263511528,5483.260512208,5469285.0
65,5483.289952444,5483.285994422,5469318.0
66,5483.32318469,5483.321504951,5469351.0
67,5483.357418368,5483.356946241,5469385.0
68,5483.389644031,5483.387631888,5469418.0
69,5483.423019877,5483.417991653,5469451.0
70,5483.456267792,5483.453672983,5469484.0
71,5483.489534984,5483.489260197,5469518.0
72,5483.522811092,5483.519732113,5469551.0
73,5483.555998894,5483.555248343,5469584.0
74,5483.589280733,5483.585744915,5469617.0
75,5483.622304697,5483.621214858,5469651.0
76,5483.655722051,5483.651606723,5469684.0
77,5483.689235496,5483.687250784,5469717.0
78,5483.722162497,5483.717756854,5469750.0
79,5483.75526519,5483.75365388,5469784.0
80,5483.788474392,5483.78413342,5469817.0
81,5483.821770057,5483.819746362,5469850.0
82,5483.854972627,5483.850184574,5469883.0
83,5483.888114974,5483.8857197,5469916.0
84,5483.921373819,5483.921334986,5469950.0
85,5483.955655238,5483.951807243,5469983.0
86,5483.988207575,5483.987425605,5470016.0
87,5484.021273488,5484.01776427,5470049.0
88,5484.054301971,5484.053268297,5470083.0
89,5484.087467451,5484.084037762,5470116.0
90,5484.121968102,5484.119579831,5470149.0
91,5484.153984882,5484.149987847,5470182.0
92,5484.188426802,5484.185577475,5470216.0
93,5484.2204899,5484.215933452,5470249.0
94,5484.255585449,5484.251340778,5470282.0
95,5484.286960363,5484.286864102,5470315.0
96,5484.320758753,5484.317506868,5470348.0
97,5484.354519983,5484.352887424,5470382.0
98,5484.386663362,5484.383425213,5470415.0
99,5484.420709207,5484.419718114,5470448.0
100,5484.453830214,5484.450339791,5470481.0
101,5484.486369517,5484.485694938,5470515.0
102,5484.519717259,5484.516166964,5470548.0
103,5484.552818178,5484.551794694,5470581.0
104,5484.586268995,5484.582092151,5470614.0
105,5484.619294863,5484.617605025,5470648.0
106,5484.652447218,5484.648208649,5470681.0
107,5484.685972796,5484.683878157,5470714.0
108,5484.724190325,5484.719470661,5470747.0
109,5484.75322068,5484.750175344,5470781.0
110,5484.785841737,5484.785784349,5470814.0
111,5484.819713274,5484.815881189,5470847.0
112,5484.853816468,5484.851409813,5470880.0
113,5484.886296469,5484.881816956,5470913.0
114,5484.918306617,5484.917402787,5470947.0
115,5484.95287216,5484.949831693,5470980.0
116,5484.986940277,5484.985868181,5471013.0
117,5485.019351439,5485.016695174,5471046.0
118,5485.052840998,5485.051864803,5471080.0
119,5485.085690765,5485.082408894,5471113.0
120,5485.119662942,5485.11786975,5471146.0
121,5485.152793266,5485.148583781,5471179.0
122,5485.186470238,5485.184307632,5471212.0
123,5485.218459086,5485.214849228,5471246.0
124,5485.252273947,5485.250524828,5471279.0
125,5485.285618995,5485.280666753,5471312.0
126,5485.319214844,5485.316202761,5471345.0
127,5485.351523995,5485.346666752,5471379.0
128,5485.385827835,5485.382154849,5471412.0
129,5485.417922422,5485.417715463,5471445.0
130,5485.451978396,5485.448241791,5471478.0
131,5485.484444622,5485.484048437,5471512.0
132,5485.518339023,5485.514778849,5471545.0
133,5485.550906619,5485.550140258,5471578.0
134,5485.585396649,5485.580777093,5471611.0
135,5485.617301559,5485.616358135,5471645.0
136,5485.651390546,5485.646894843,5471678.0
137,5485.683738339,5485.682328899,5471711.0
138,5485.721082436,5485.718188785,5471744.0
139,5485.750796587,5485.749534774,5471777.0
140,5485.784524615,5485.780021718,5471811.0
141,5485.817411441,5485.815722766,5471844.0
142,5485.851045402,5485.846251789,5471877.0
143,5485.883239606,5485.881583091,5471910.0
144,5485.91729532,5485.917179252,5471944.0
145,5485.949518498,5485.947572009,5471977.0
146,5485.983427557,5485.983155856,5472010.0
147,5486.01496215,5486.014225405,5472043.0
148,5486.049928667,5486.049774026,5472077.0
149,5486.082412325,5486.08082968,5472110.0
150,5486.115345889,5486.111503635,5472143.0
151,5486.148841591,5486.146939294,5472176.0
152,5486.18176732,5486.177204741,5472209.0
153,5486.215827142,5486.212998463,5472243.0
154,5486.250454451,5486.248364241,5472276.0
155,5486.28227929,5486.278986058,5472309.0
156,5486.315230357,5486.314601575,5472342.0
157,5486.348000865,5486.344980065,5472376.0
158,5486.381558122,5486.380521192,5472409.0
159,5486.414551679,5486.411226256,5472442.0
160,5486.447857463,5486.446661143,5472475.0
161,5486.480774005,5486.476934395,5472509.0
162,5486.514182792,5486.512826462,5472542.0
163,5486.547307005,5486.544209741,5472575.0
164,5486.580481272,5486.57973583,5472608.0
165,5486.614160358,5486.610076759,5472641.0
166,5486.647070137,5486.6456252,5472675.0
167,5486.680950461,5486.676207022,5472708.0
168,5486.715939911,5486.711808994,5472741.0
169,5486.74680725,5486.74211606,5472774.0
170,5486.779998459,5486.777672235,5472808.0
171,5486.81369097,5486.813232478,5472841.0
172,5486.847623302,5486.843903949,5472874.0
173,5486.881507774,5486.879522221,5472907.0
174,5486.912893017,5486.909934635,5472941.0
175,5486.946861337,5486.945699813,5472974.0
176,5486.981575599,5486.976742762,5473007.0
177,5487.012618679,5487.012274752,5473040.0
178,5487.045915185,5487.042837058,5473073.0
179,5487.079682257,5487.078608919,5473107.0
180,5487.112362484,5487.109387531,5473140.0
181,5487.145529928,5487.145069723,5473173.0
182,5487.179381158,5487.175208422,5473206.0
183,5487.212135415,5487.210817858,5473240.0
184,5487.245304873,5487.241272551,5473273.0
185,5487.278739138,5487.276837593,5473306.0
186,5487.311829958,5487.307179233,5473339.0
187,5487.345116225,5487.342685114,5473373.0
188,5487.378504715,5487.378341618,5473406.0
189,5487.412037245,5487.408722222,5473439.0
190,5487.444655817,5487.444381461,5473472.0
191,5487.477850082,5487.475167778,5473506.0
192,5487.512007126,5487.51032302,5473539.0
193,5487.544322217,5487.540895254,5473572.0
194,5487.57753697,5487.576360087,5473605.0
195,5487.611447932,5487.606724982,5473638.0
196,5487.644462008,5487.642393208,5473672.0
197,5487.678155651,5487.677881025,5473705.0
198,5487.711549451,5487.708455283,5473738.0
199,5487.745349895,5487.739899526,5473771.0
200,5487.777125952,5487.775946114,5473805.0
201,5487.811413042,5487.806379477,5473838.0
202,5487.843441915,5487.842117354,5473871.0
203,5487.876953365,5487.874760803,5473904.0
204,5487.909772464,5487.905452522,5473938.0
205,5487.943875567,5487.940802038,5473971.0
206,5487.976487437,5487.976328117,5474004.0
207,5488.009777591,5488.007013524,5474037.0
208,5488.042921311,5488.042452128,5474071.0
209,5488.076632076,5488.072695835,5474104.0
210,5488.111519414,5488.108531716,5474137.0
211,5488.142556693,5488.139219197,5474170.0
