index,timestamp,,,
0,1749820269.22794,1749820269.22794,0,
1,1749820269.2612,1749820269.2612,0,0.0332598686218262
2,1749820269.29449,1749820269.29449,0,0.0332901477813721
3,1749820269.32827,1749820269.32827,0,0.0337798595428467
4,1749820269.3609,1749820269.3609,0,0.0326299667358398
5,1749820269.3953,1749820269.3953,0,0.0343999862670898
6,1749820269.4271,1749820269.4271,0,0.0318000316619873
7,1749820269.46257,1749820269.46257,0,0.0354700088500977
8,1749820269.4932,1749820269.4932,0,0.0306301116943359
9,1749820269.5367,1749820269.5367,0,0.0434999465942383
10,1749820269.56927,1749820269.56927,0,0.0325698852539062
11,1749820269.60099,1749820269.60099,0,0.0317201614379883
12,1749820269.63551,1749820269.63551,0,0.0345199108123779
13,1749820269.65935,1749820269.65935,0,0.0238399505615234
14,1749820269.69255,1749820269.69255,0,0.0332000255584717
15,1749820269.72609,1749820269.72609,0,0.0335400104522705
16,1749820269.75908,1749820269.75908,0,0.0329899787902832
17,1749820269.79234,1749820269.79234,0,0.0332601070404053
18,1749820269.82584,1749820269.82584,0,0.0334999561309814
19,1749820269.85967,1749820269.85967,0,0.033829927444458
20,1749820269.89198,1749820269.89198,0,0.0323100090026855
21,1749820269.92504,1749820269.92504,0,0.0330600738525391
22,1749820269.95833,1749820269.95833,0,0.033289909362793
23,1749820269.99161,1749820269.99161,0,0.0332801342010498
24,1749820270.02455,1749820270.02455,0,0.0329399108886719
25,1749820270.0578,1749820270.0578,0,0.033250093460083
26,1749820270.09123,1749820270.09123,0,0.0334298610687256
27,1749820270.1242,1749820270.1242,0,0.0329701900482178
28,1749820270.15734,1749820270.15734,0,0.0331399440765381
29,1749820270.19075,1749820270.19075,0,0.0334098339080811
30,1749820270.22408,1749820270.22408,0,0.0333302021026611
31,1749820270.25725,1749820270.25725,0,0.0331699848175049
32,1749820270.29057,1749820270.29057,0,0.0333199501037598
33,1749820270.32414,1749820270.32414,0,0.0335700511932373
34,1749820270.35692,1749820270.35692,0,0.0327799320220947
35,1749820270.39026,1749820270.39026,0,0.0333399772644043
36,1749820270.42338,1749820270.42338,0,0.0331199169158936
37,1749820270.45669,1749820270.45669,0,0.0333101749420166
38,1749820270.48996,1749820270.48996,0,0.0332698822021484
39,1749820270.52313,1749820270.52313,0,0.0331699848175049
40,1749820270.55633,1749820270.55633,0,0.0332000255584717
41,1749820270.58959,1749820270.58959,0,0.0332601070404053
42,1749820270.62274,1749820270.62274,0,0.0331499576568604
43,1749820270.656,1749820270.656,0,0.0332598686218262
44,1749820270.68917,1749820270.68917,0,0.0331699848175049
45,1749820270.72259,1749820270.72259,0,0.0334200859069824
46,1749820270.75561,1749820270.75561,0,0.03302001953125
47,1749820270.78883,1749820270.78883,0,0.0332200527191162
48,1749820270.82218,1749820270.82218,0,0.0333499908447266
49,1749820270.85531,1749820270.85531,0,0.0331299304962158
50,1749820270.88862,1749820270.88862,0,0.0333099365234375
51,1749820270.92199,1749820270.92199,0,0.0333700180053711
52,1749820270.95514,1749820270.95514,0,0.0331501960754395
53,1749820270.98832,1749820270.98832,0,0.0331799983978271
54,1749820271.02822,1749820271.02822,0,0.0398998260498047
55,1749820271.05466,1749820271.05466,0,0.0264401435852051
56,1749820271.08788,1749820271.08788,0,0.0332198143005371
57,1749820271.12115,1749820271.12115,0,0.0332701206207275
58,1749820271.15432,1749820271.15432,0,0.0331699848175049
59,1749820271.18757,1749820271.18757,0,0.033250093460083
60,1749820271.22089,1749820271.22089,0,0.0333199501037598
61,1749820271.2541,1749820271.2541,0,0.0332100391387939
62,1749820271.2874,1749820271.2874,0,0.0332999229431152
63,1749820271.32047,1749820271.32047,0,0.0330700874328613
64,1749820271.3537,1749820271.3537,0,0.0332298278808594
65,1749820271.38687,1749820271.38687,0,0.0331699848175049
66,1749820271.4208,1749820271.4208,0,0.0339300632476807
67,1749820271.45361,1749820271.45361,0,0.0328099727630615
68,1749820271.48658,1749820271.48658,0,0.0329699516296387
69,1749820271.51969,1749820271.51969,0,0.0331101417541504
70,1749820271.55304,1749820271.55304,0,0.0333499908447266
71,1749820271.58613,1749820271.58613,0,0.0330898761749268
72,1749820271.61933,1749820271.61933,0,0.0332000255584717
73,1749820271.65269,1749820271.65269,0,0.0333600044250488
74,1749820271.6858,1749820271.6858,0,0.0331101417541504
75,1749820271.71907,1749820271.71907,0,0.0332698822021484
76,1749820271.75243,1749820271.75243,0,0.0333600044250488
77,1749820271.78555,1749820271.78555,0,0.0331201553344727
78,1749820271.81886,1749820271.81886,0,0.0333099365234375
79,1749820271.8522,1749820271.8522,0,0.0333399772644043
80,1749820271.88519,1749820271.88519,0,0.0329899787902832
81,1749820271.91836,1749820271.91836,0,0.0331699848175049
82,1749820271.95176,1749820271.95176,0,0.0334000587463379
83,1749820271.98479,1749820271.98479,0,0.0330300331115723
84,1749820272.0181,1749820272.0181,0,0.0333099365234375
85,1749820272.0514,1749820272.0514,0,0.0332999229431152
86,1749820272.0848,1749820272.0848,0,0.0334000587463379
87,1749820272.11768,1749820272.11768,0,0.0328800678253174
88,1749820272.15122,1749820272.15122,0,0.0335400104522705
89,1749820272.1842,1749820272.1842,0,0.0329799652099609
90,1749820272.21746,1749820272.21746,0,0.0332598686218262
91,1749820272.25077,1749820272.25077,0,0.0333101749420166
92,1749820272.28395,1749820272.28395,0,0.0331799983978271
93,1749820272.31712,1749820272.31712,0,0.0331699848175049
94,1749820272.35026,1749820272.35026,0,0.0331399440765381
95,1749820272.38345,1749820272.38345,0,0.0331900119781494
96,1749820272.41667,1749820272.41667,0,0.0332200527191162
97,1749820272.44991,1749820272.44991,0,0.0332398414611816
98,1749820272.48334,1749820272.48334,0,0.0334300994873047
99,1749820272.51653,1749820272.51653,0,0.0331900119781494
100,1749820272.5496,1749820272.5496,0,0.0330698490142822
101,1749820272.58285,1749820272.58285,0,0.033250093460083
102,1749820272.61609,1749820272.61609,0,0.0332400798797607
103,1749820272.64947,1749820272.64947,0,0.0333800315856934
104,1749820272.68333,1749820272.68333,0,0.0338599681854248
