index,align_timestamp,robot_timestamp,capture_time
0,5401.506856634,5401.505898713,5387531.0
1,5401.539683197,5401.536077006,5387565.0
2,5401.572826145,5401.571523135,5387598.0
3,5401.606289235,5401.602050715,5387631.0
4,5401.639388811,5401.637760549,5387664.0
5,5401.672598705,5401.66799069,5387697.0
6,5401.706295594,5401.703452699,5387731.0
7,5401.73913439,5401.738963549,5387764.0
8,5401.772316211,5401.769368338,5387797.0
9,5401.805625982,5401.804876864,5387830.0
10,5401.838741749,5401.835292674,5387864.0
11,5401.877724217,5401.875916358,5387897.0
12,5401.908135649,5401.90640806,5387930.0
13,5401.938427967,5401.936943876,5387963.0
14,5401.97322256,5401.972325072,5387997.0
15,5402.005905683,5402.002616088,5388030.0
16,5402.040884623,5402.03832452,5388063.0
17,5402.072064981,5402.06849043,5388096.0
18,5402.106424256,5402.104328225,5388130.0
19,5402.138545493,5402.134664786,5388163.0
20,5402.172838473,5402.170152683,5388196.0
21,5402.205509784,5402.200550419,5388229.0
22,5402.239723415,5402.236096796,5388262.0
23,5402.272775362,5402.271488592,5388296.0
24,5402.304313061,5402.302376921,5388329.0
25,5402.337390075,5402.332474192,5388362.0
26,5402.370492386,5402.367900383,5388395.0
27,5402.404703322,5402.403465825,5388429.0
28,5402.437009517,5402.433804781,5388462.0
29,5402.470202779,5402.469296054,5388495.0
30,5402.504855837,5402.499825498,5388528.0
31,5402.537214059,5402.535583092,5388562.0
32,5402.569966292,5402.566219287,5388595.0
33,5402.603382163,5402.601421527,5388628.0
34,5402.636694209,5402.631848367,5388661.0
35,5402.669823872,5402.667481047,5388695.0
36,5402.703387471,5402.70274347,5388728.0
37,5402.736760902,5402.733215706,5388761.0
38,5402.777701541,5402.773680891,5388794.0
39,5402.803567206,5402.799227386,5388827.0
40,5402.837724762,5402.834946878,5388861.0
41,5402.869765657,5402.86558152,5388894.0
42,5402.905154508,5402.901270896,5388927.0
43,5402.936477093,5402.936462105,5388960.0
44,5402.97034312,5402.966874939,5388994.0
45,5403.00364137,5403.002545189,5389027.0
46,5403.037733483,5403.032788425,5389060.0
47,5403.069927416,5403.068620339,5389093.0
48,5403.104443997,5403.104049114,5389127.0
49,5403.13488785,5403.134477208,5389160.0
50,5403.168268324,5403.164838094,5389193.0
51,5403.202518574,5403.200474441,5389226.0
52,5403.236191639,5403.23593195,5389260.0
53,5403.269808848,5403.266300161,5389293.0
54,5403.301457166,5403.29678442,5389326.0
55,5403.33509291,5403.332160657,5389359.0
56,5403.368802554,5403.367567682,5389392.0
57,5403.401848369,5403.398270201,5389426.0
58,5403.435480206,5403.433514269,5389459.0
59,5403.468878173,5403.463992487,5389492.0
60,5403.500519778,5403.499501053,5389525.0
61,5403.533727838,5403.530287951,5389559.0
62,5403.567911633,5403.566283342,5389592.0
63,5403.600224781,5403.597576111,5389625.0
64,5403.6351236,5403.633145451,5389658.0
65,5403.668050251,5403.663620001,5389692.0
66,5403.701356887,5403.699024011,5389725.0
67,5403.733924774,5403.730648974,5389758.0
68,5403.767592659,5403.766217864,5389791.0
69,5403.80027993,5403.796415844,5389825.0
70,5403.834562691,5403.831948866,5389858.0
