index,timestamp
align_timestamp 0,5401.507,5401.507, ,5401.602,5401.602,5401.702,5401.8022,5401.9023,5402.0024,5402.102,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024
align_timestamp 1,5401.507,5401.6064, ,5401.602,5401.702,5401.8022,5401.9023,5402.0024,5402.102,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102
align_timestamp 2,5401.6064,5401.706, ,5401.702,5401.8022,5401.9023,5402.0024,5402.102,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202
align_timestamp 3,5401.706,5401.8057, ,5401.8022,5401.9023,5402.0024,5402.102,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022
align_timestamp 4,5401.8057,5401.908, ,5401.9023,5402.0024,5402.102,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022
align_timestamp 5,5401.908,5402.006, ,5402.0024,5402.102,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023
align_timestamp 6,5402.006,5402.1064, ,5402.102,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024
align_timestamp 7,5402.1064,5402.2056, ,5402.202,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602
align_timestamp 8,5402.2056,5402.304, ,5402.3022,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702
align_timestamp 9,5402.304,5402.405, ,5402.4023,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022
align_timestamp 10,5402.405,5402.505, ,5402.5024,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023
align_timestamp 11,5402.505,5402.6035, ,5402.602,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024
align_timestamp 12,5402.6035,5402.7036, ,5402.702,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102
align_timestamp 13,5402.7036,5402.8037, ,5402.8022,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202
align_timestamp 14,5402.8037,5402.9053, ,5402.9023,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022
align_timestamp 15,5402.9053,5403.0034, ,5403.0024,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023
align_timestamp 16,5403.0034,5403.1045, ,5403.102,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024
align_timestamp 17,5403.1045,5403.2026, ,5403.202,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602
align_timestamp 18,5403.2026,5403.3013, ,5403.3022,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702
align_timestamp 19,5403.3013,5403.402, ,5403.3022,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022
align_timestamp 20,5403.402,5403.5005, ,5403.4023,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023
align_timestamp 21,5403.5005,5403.6, ,5403.5024,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024
align_timestamp 22,5403.6,5403.701, ,5403.602,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102
align_timestamp 23,5403.701,5403.8003, ,5403.702,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102,5405.202
align_timestamp 24,5403.8003,5403.902, ,5403.8022,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102,5405.202,5405.3022
align_timestamp 25,5403.902,5403.999, ,5403.9023,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102,5405.202,5405.3022,5405.4023
align_timestamp 26,5403.999,5404.1006, ,5404.0024,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102,5405.202,5405.3022,5405.4023,5405.5024
align_timestamp 27,5404.1006,5404.198, ,5404.102,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102,5405.202,5405.3022,5405.4023,5405.5024,5405.602
align_timestamp 28,5404.198,5404.3, ,5404.202,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102,5405.202,5405.3022,5405.4023,5405.5024,5405.602,5405.702
align_timestamp 29,5404.3,5404.399, ,5404.3022,5404.4023,5404.5024,5404.602,5404.702,5404.8022,5404.9023,5405.0024,5405.102,5405.202,5405.3022,5405.4023,5405.5024,5405.602,5405.702,5405.8022
